what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1370284966938
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1370284966938
os,sysinfo,,,"win32",1370284966940
arch,sysinfo,,,"x86_64",1370284966940
ws,sysinfo,,,"win32",1370284966940
locale,sysinfo,,,"en_US",1370284966940
processors,sysinfo,,,"4",1370284966940
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1370284966940
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1370284966940
java.specification.name,sysinfo,,,"Java Platform API Specification",1370284966940
java.specification.vendor,sysinfo,,,"Oracle Corporation",1370284966940
java.specification.version,sysinfo,,,"1.7",1370284966940
java.vendor,sysinfo,,,"Oracle Corporation",1370284966940
java.version,sysinfo,,,"1.7.0_21",1370284966940
java.vm.info,sysinfo,,,"mixed mode",1370284966940
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1370284966940
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1370284966940
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1370284966940
java.vm.specification.version,sysinfo,,,"1.7",1370284966940
java.vm.vendor,sysinfo,,,"Oracle Corporation",1370284966940
java.vm.version,sysinfo,,,"23.21-b01",1370284966940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285017903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285043241
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285044240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285064892
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285065858
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285066591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285072997
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285076967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285077341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285081550
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1370285084934
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1370285085073
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201102110609,"org.eclipse.cdt.build.crossgcc",1370285085155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285085286
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1370285159091
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1370285159233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285159928
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1370285160392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285160477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285164052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285164680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285170125
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1370285172066
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1370285172175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285175043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285205802
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1370285205847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285206422
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285212939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285216097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285227956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1370285227974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285228987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285239897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285243771
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370285358599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370285358796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370285358947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1370285359098
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1370285364381
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1370285364718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1370285443099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285456091
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1370285456166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285463546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1370285481179
